ID,Year,Month,Authors,ImpModel,Title,Journal,ReviewOrResearch,ModelClass,ModelBase,ModelBackbone,ModelNeck,ModelHead,ModelInputSize,Dataset,SpacialResMin,SpacialResMax,SpectralRes,ImageSize,ImageProcessing,Hardware,Strengths,Weaknesses,Code,Small
112,2024,4,Wang et al,ViTMGFVFPN,Fine grained ship image classification and detection based on a vision transformer and multi grain feature vector FPN model,GIS,research,other,ViT,Vision Transformer (ViT-S/16),MGFV-FPN (Multi-Grain Feature Vector Feature Pyramid Network) (extraction of local features); GSwin-Trans (global representations),NA,224x224,FGSC-23/MilitaryShip/HRSC2016/FAIR1M,NA,NA,NA,NA,NA,NA,"Crafted to assimilate both macroscopic and microscopic features. To the microscopic image attributes, the MGFV-FPN was conceptualized with an integrated pyramid network. For the macroscopic image attributes, the refined ViT architec ture, christening it GSwin-Trans. Accuracies of 92.7 ± 0.3% on the FGSC-23 and 93.1 ± 0.6% on the naval military image sets, eclipsing existing methodologies. Moreover, as a robust fundation for maritime object detection within the HRSC2016 and FAIR1M datasets, the ViT-MGFV- FPN has its mettle over other foundational structures. Multi-scale feature granularity for both small and large ships",Higher computational cost,not provided,TRUE
113,2024,3,Niranjan et al,UNet,DL Approach for Ship Detection using satellite imagery,EAIEU,research,other,UNet,NA,NA,NA,768x768x3,Sentinel-2,NA,NA,RGB,768x768x3,Image transposition; Mask pair involving flipping or rotating,NA,"Achieves 98.94% training accuracy and 97.34% validation accuracy for segmentation; simple architecture; effective for clear, unobstructed ships.",Dataset poorly described. It seems to not have challenging conditions.,not provided,FALSE
114,2024,1,Li,CompCNN/ViT,Comparison DL Based RS Image Recognition Model for Ships,IEEE ICPECA,research,other,CNN/ViT,default,default,default,NA,(custom),NA,NA,NA,NA,Rotation; Flipping,NA,"ViT achieves >90.2% accuracy when dataset size = 20,000. The larger the size of the dataset, the better the Transformer network performs. CNN and ViT both benefit from bilateral filtering and augmentation; ViT improves as dataset size increases.","The performance of the two models was compared by training them on datasets of different sizes. ViT prone to overfitting on small datasets, Lack information of CNN performance.Poor image augmentation.",ope,FALSE
115,2022,12,Liu et al,MSOA,Moving Ship Optimal Association for Maritime Surveillance Fusing AIS and Sentinel 2 Data,IEEE TGRS,research,other,YOLOv5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not provided,FALSE
116,2022,10,Chen et al,MSSDet,Multi Scale Ship Detection Framework in Optical RS Images and New Benchmark,Remote Sensing,research,other,MMDetector,ResNet-34,Joint Recursive Feature Pyramid (JRFP),NA,NA,HRSC2016-MS/DIOR,NA,NA,NA,NA,Mosaic-MixUp data-augmentation method,NVIDIA RTX 2080Ti,"MSSDet achieves multi-scale ship detection performance through enhanced FPN and feature calibration modules. Authors consider that non-oriented detectors perform better for small ships because tiny targets lack reliable orientation cues, making angle prediction noisy and unnecessary while horizontal boxes remain simpler, more stable, and more accurate. Proposed JRFP architecture and also showed that the proposed method has excellent generalizability. Comparisons with SOTA methods showed that the proposed method achieves competitive performance: mAP 77.3%, 95.8%, and 73.3% on the HRSC2016-MS, HRSC2016, and DIOR datasets, respectively.","Limitations of non-oriented detection methods.Anchor-based design remains sensitive to extreme aspect ratios and densely packed small ships. Insufficient ability to extract context information, bamboo rafts are detected by mistake. Authors consider problems like this can be solved by oriented detection mechanism, more abundant context information, and a more extensive and diverse dataset",not provided,TRUE
117,2022,8,Wang,NA,Superpixel Segmentation A Novel Method of Ship Detection under Cloud Interference for Optical RS Images,Remote Sensing,research,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not provided,FALSE
118,2022,7,Chen et al,P2Net,Contrastive Learning for Fine Grained Ship Classification in RS Images,IEEE TGRS,research,other,P2Net,ResNet-50 (pretrained on ImageNet),NA,Push-out contrastive module + Pull-in proxy-based integration module,224×224x3,FGSC-23/FGSCR-42,NA,NA,NA,NA,H/V flips; Random crop; Random scale; Random gaussian blur; Random rotation,Single NVIDIA RTX 3090 GPU,"SOTA accuracy on FGSC-23 and FGSCR-42; higher AA than prior methods, Asynchronous contrastive push-and-pull where input images are first decorrelated with each other and then aggregated into subclasses.improves handling of imbalanced fineness and appearances. The proposed P2Net leverages the idea of CL and consists of a push-out part and a pull-in part that perform the above two processes, respectively. With the two parts, our network can decouple the subclasses, and thus make the classification much easier. All the network components in our method do not require extra annotations and can be trained in an end-to-end fashion.",NA,https://github.com/WindVChen/Push-and-Pull-Network,FALSE
119,2022,7,Xie et al,NA,Small Ship Detection Based on Hybrid Anchor Structure and Feature Super Resolution,Remote Sensing,research,hybrid,NA,ResNet-50,Adaptive Feature Pyramid (AFP),Hybrid anchor-based & anchor-free detection branches + second-stage FC head; RoI feature super-resolution module,600x,(custom),NA,NA,NA,NA,NA,NVIDIA GTX 1080Ti Intel i7-7820X 32 GB RAM,"Small ships: AP = 83.7%; Medium: 88.5%; Large: 93.8%; The proposed structure combines the advantages of both anchor-based methods and anchor-free methods: an anchor-based detection branch is set to improve the localization accuracy, and an anchorfree detection branch is set to reduce misdetections.; Super-resolution enhances small-ship detail",Feature super-resolution network is computationally heavy and structurally complex,not provided,TRUE
120,2022,4,Guo et al,FDNet,Fully Deformable Convolutional Network for Ship Detection in RS Imagery,Remote Sensing,research,other,VFNet,ResNet-50 with deformable convolutions (DCN),Enhanced feature pyramid network (EFPN) based on Path Aggregation Network (PANet),Deformable convolution multi-scale feature fusion detection head,NA,DOTA/DIOR,NA,NA,NA,NA,Novel Crop Mosaic data augmentation method,Intel Core i7-7700K CPU GeForce GTX 1080 Ti GPU x 2 and 32GB,"FDNet extract features from ships with variable scale, distribution, orientation and shape. EFPN module can better extract features and can avoid feature loss in the process of transformation. ABFI module could adaptively integrate adjacent multi-level features and significantly improve the ability of detecting small ship objects. The crop mosaic data augmentation designed and implemented, can improve the diversity of the dataset without changing the original scale of the object by mixing up the cropped images that have been enhanced with various methods, such as rotation, inversion, stretching, brightness balance, etc. Performance of multi-scale ship object detection",NA,not provided,TRUE
121,2022,2,Cui et al,SDANet,A detector for small densely distributed and arbitrary directional ships in RS images,Appl Intell,research,other,NA,ResNet-101 with adaptive deformation convolution (ADC),"SFPNet, MSANet",MLCNet and rotation branch,NA,DOTA/HRSC2016,NA,NA,NA,NA,NA,Intel(R) Core(TM) i7-7700HQ CPU@2.8GHz NVIDIA GeForce RTX3080Ti,AP 77.86%,SDANet currently cannot realize ship detection in night scenes,not provided,TRUE
122,2021,10,Ciocarlan Stoian,UNet,Ship Detection in Sentinel 2 Multi Spectral Images with Self Supervised Learning,Remote Sensing,research,other,UNet,ResNet50,NA,NA,64x64,S-2Ship,"10 m (R,G,B, NIR), 20 m, 60 m (other bands)","10 m (R,G,B, NIR), 20 m, 60 m (other bands)","13, between 443 nm–2190 nm. B2 (B), B3 (G), B4 (R), B8 (NIR), and B11 and B12 (SWIR) spectral channels",1783x38,Color jitter; Random rotations; Cropping; Resizing; Slight Gaussian noise,NVIDIA RTX 2080,self-supervised pretraining improves generalization with limited labels; robust to varying sea states and atmospheric conditions,10 m resolution limits ability to detect smaller ships,github.com/alina2204/contrastive_SSL_ship_detection,FALSE
123,2021,1,Wang et al,SDGH,Ship Detection in Optical RS Images,Remote Sensing,research,other,UNet,NA,NA,NA,NA,HRSC2016,NA,NA,NA,NA,Test time augmentation strategy,i7-8700 3.20GHz six-core processor 32 GB memory (Micron DDR4 2666MHz) and a graphics card with Nvidia GeForce RTX 2080 Ti 11GB video memory,"To detect ships of different scales, hole convolutions of different rates were introduced and feature fusion in the form of addition is performed. To compensate for the imbalance of positive and negative samples in the data, we use the weighted mean square error as the loss function of the model. To further improve the generalization ability of the model, we adopted a test time augmentation strategy. Compared with other models, our method achieved high precision scores, and its recall and F-measure scores were the highest. Superior to Faster R-CNN in terms of efficiency.",Not focused on small targets,https://github.com/WangZhenqing-RS/SDGH-Net-Ship-Detection-in-Optical-Remote-Sensing-Images-Based-on-Gaussian-Heatmap-Regression,FALSE
